employee_name,user_id,Domain,Email,Role
Emma C Decker,ECD0029,dtaa.com,Emma.C.Decker@dtaa.com,Loading Dock
Aimee Z Christian,AZC0030,dtaa.com,Aimee.Z.Christian@dtaa.com,Technician
Emerson E Knowles,EEK0031,dtaa.com,Emerson.E.Knowles@dtaa.com,Foreman
Stacy D Conrad,SDC0032,dtaa.com,Stacy.D.Conrad@dtaa.com,Technician
Austin K Alexander,AKA0033,dtaa.com,Austin.K.Alexander@dtaa.com,Senior Manger
Mechelle I Koch,MIK0034,dtaa.com,Mechelle.I.Koch@dtaa.com,Administrative Staff
Hayes B Fowler,HBF0035,dtaa.com,Hayes.B.Fowler@dtaa.com,Security
Lamar J Underwood,LJU0036,dtaa.com,Lamar.J.Underwood@dtaa.com,Foreman
Edward B Pace,EBP0037,dtaa.com,Edward.B.Pace@dtaa.com,Technician
Brooke D Hood,BDH0038,dtaa.com,Brooke.D.Hood@dtaa.com,Tradesman
Kendall K Travis,KKT0039,dtaa.com,Kendall.K.Travis@dtaa.com,Technician
Ivan H Figueroa,IHF0040,dtaa.com,Ivan.H.Figueroa@dtaa.com,Administrative Staff
Gary H Campbell,GHC0041,dtaa.com,Gary.H.Campbell@dtaa.com,Administrative Assistant
Levi G Armstrong,LGA0042,dtaa.com,Levi.G.Armstrong@dtaa.com,Administrative Staff
Kibo E Smith,KES0043,dtaa.com,Kibo.E.Smith@dtaa.com,Administrative Staff
Sawyer B Berg,SBB0044,dtaa.com,Sawyer.B.Berg@dtaa.com,Technician
Yeo V Foster,YVF0045,dtaa.com,Yeo.V.Foster@dtaa.com,Janitor
Britanni G Vargas,BGV0046,dtaa.com,Britanni.G.Vargas@dtaa.com,Technician
Sawyer S Cooke,SSC0047,dtaa.com,Sawyer.S.Cooke@dtaa.com,Foreman
Magee N Dale,MND0048,dtaa.com,Magee.N.Dale@dtaa.com,Administrative Assistant
Amena S Velez,ASV0049,dtaa.com,Amena.S.Velez@dtaa.com,Administrative Staff
Akeem R Beach,ARB0050,dtaa.com,Akeem.R.Beach@dtaa.com,Security
Vaughan M Alford,VMA0051,dtaa.com,Vaughan.M.Alford@dtaa.com,Engineer
Xerxes G Bruce,XGB0052,dtaa.com,Xerxes.G.Bruce@dtaa.com,Administrative Staff
Joan L Mccarty,JLM0053,dtaa.com,Joan.L.Mccarty@dtaa.com,Administrative Staff
Burton G Norman,BGN0054,dtaa.com,Burton.G.Norman@dtaa.com,Janitor
Keelie E Hayes,KEH0055,dtaa.com,Keelie.E.Hayes@dtaa.com,Technician
Caleb D Zamora,CDZ0056,dtaa.com,Caleb.D.Zamora@dtaa.com,Administrative Assistant
Holly J Keller,HJK0057,dtaa.com,Holly.J.Keller@dtaa.com,Technician
Cooper R May,CRM0058,dtaa.com,Cooper.R.May@dtaa.com,Administrative Assistant
Kai A Daugherty,KAD0059,dtaa.com,Kai.A.Daugherty@dtaa.com,Technician
Erich M Lyons,EML0060,dtaa.com,Erich.M.Lyons@dtaa.com,Administrative Staff
Amal C Meyers,ACM0061,dtaa.com,Amal.C.Meyers@dtaa.com,Administrative Assistant
Jane G Barton,JGB0062,dtaa.com,Jane.G.Barton@dtaa.com,Of Council
Driscoll F Zimmerman,DFZ0063,dtaa.com,Driscoll.F.Zimmerman@dtaa.com,Engineer
William D Whitaker,WDW0064,dtaa.com,William.D.Whitaker@dtaa.com,Administrative Assistant
Ray B Yang,RBY0065,dtaa.com,Ray.B.Yang@dtaa.com,Janitor
Sean T Cantrell,STC0066,dtaa.com,Sean.T.Cantrell@dtaa.com,Security
Amal K Holder,AKH0067,dtaa.com,Amal.K.Holder@dtaa.com,Administrative Assistant
Tanya R Porter,TRP0068,dtaa.com,Tanya.R.Porter@dtaa.com,Administrative Staff
Prescott X Benton,PXB0069,dtaa.com,Prescott.X.Benton@dtaa.com,Administrative Staff
Vivian D Pierce,VDP0070,dtaa.com,Vivian.D.Pierce@dtaa.com,Security
Cameran S Atkinson,CSA0071,dtaa.com,Cameran.S.Atkinson@dtaa.com,Engineer
Baxter N Nieves,BNN0072,dtaa.com,Baxter.N.Nieves@dtaa.com,Administrative Assistant
Kerry I Nixon,KIN0073,dtaa.com,Kerry.I.Nixon@dtaa.com,Technician
Cairo R Figueroa,CRF0074,dtaa.com,Cairo.R.Figueroa@dtaa.com,Foreman
Clayton B Brewer,CBB0075,dtaa.com,Clayton.B.Brewer@dtaa.com,Senior Manger
Justina W Williams,JWW0076,dtaa.com,Justina.W.Williams@dtaa.com,Administrative Staff
Garrison E Church,GEC0077,dtaa.com,Garrison.E.Church@dtaa.com,Engineer
Malachi S Puckett,MSP0078,dtaa.com,Malachi.S.Puckett@dtaa.com,Engineer
Bell L Buchanan,BLB0079,dtaa.com,Bell.L.Buchanan@dtaa.com,Administrative Staff
Echo S Battle,ESB0080,dtaa.com,Echo.S.Battle@dtaa.com,Technician
Jonas F Anderson,JFA0081,dtaa.com,Jonas.F.Anderson@dtaa.com,Foreman
Cruz T Henson,CTH0082,dtaa.com,Cruz.T.Henson@dtaa.com,Administrative Staff
Joelle D Moreno,JDM0083,dtaa.com,Joelle.D.Moreno@dtaa.com,Technician
Micah T Solis,MTS0084,dtaa.com,Micah.T.Solis@dtaa.com,Security
Shana S Herman,SSH0085,dtaa.com,Shana.S.Herman@dtaa.com,Tradesman
Shaeleigh M Lucas,SML0086,dtaa.com,Shaeleigh.M.Lucas@dtaa.com,Administrative Staff
Ayanna L Sullivan,ALS0087,dtaa.com,Ayanna.L.Sullivan@dtaa.com,Technician
April G Ferguson,AGF0088,dtaa.com,April.G.Ferguson@dtaa.com,Administrative Staff
Leslie I Burks,LIB0089,dtaa.com,Leslie.I.Burks@dtaa.com,Janitor
Maya C Mack,MCM0090,dtaa.com,Maya.C.Mack@dtaa.com,Technician
Aubrey G Barrett,AGB0091,dtaa.com,Aubrey.G.Barrett@dtaa.com,Foreman
Patrick K Morrow,PKM0092,dtaa.com,Patrick.K.Morrow@dtaa.com,Engineer
Nicholas R Mullen,NRM0093,dtaa.com,Nicholas.R.Mullen@dtaa.com,Janitor
Nolan J Wolf,NJW0094,dtaa.com,Nolan.J.Wolf@dtaa.com,Security
Lucy B Bell,LBB0095,dtaa.com,Lucy.B.Bell@dtaa.com,Administrative Staff
Priscilla I Dominguez,PID0096,dtaa.com,Priscilla.I.Dominguez@dtaa.com,Technician
Paki C Snow,PCS0097,dtaa.com,Paki.C.Snow@dtaa.com,Engineer
Brett L Spencer,BLS0098,dtaa.com,Brett.L.Spencer@dtaa.com,Project Manager
Lars P Gillespie,LPG0099,dtaa.com,Lars.P.Gillespie@dtaa.com,Security
Alexander R Blackburn,ARB0100,dtaa.com,Alexander.R.Blackburn@dtaa.com,Administrative Staff
Aspen M Holcomb,AMH0101,dtaa.com,Aspen.M.Holcomb@dtaa.com,Tradesman
Teagan P Camacho,TPC0102,dtaa.com,Teagan.P.Camacho@dtaa.com,Administrative Staff
Adam H Velez,AHV0103,dtaa.com,Adam.H.Velez@dtaa.com,Security
Carl B Rodriguez,CBR0104,dtaa.com,Carl.B.Rodriguez@dtaa.com,Foreman
Germaine M Lyons,GML0105,dtaa.com,Germaine.M.Lyons@dtaa.com,Technician
Ulysses C Miles,UCM0106,dtaa.com,Ulysses.C.Miles@dtaa.com,Technician
Kirk C Nielsen,KCN0107,dtaa.com,Kirk.C.Nielsen@dtaa.com,Administrative Assistant
Shad B Klein,SBK0108,dtaa.com,Shad.B.Klein@dtaa.com,Administrative Assistant
Barclay C Villarreal,BCV0109,dtaa.com,Barclay.C.Villarreal@dtaa.com,Loading Dock
Catherine D Salas,CDS0110,dtaa.com,Catherine.D.Salas@dtaa.com,Technician
Mason Z Waller,MZW0111,dtaa.com,Mason.Z.Waller@dtaa.com,Security
Dale S Shepherd,DSS0112,dtaa.com,Dale.S.Shepherd@dtaa.com,Foreman
Quin A Morton,QAM0113,dtaa.com,Quin.A.Morton@dtaa.com,Administrative Staff
Eden F Stout,EFS0114,dtaa.com,Eden.F.Stout@dtaa.com,Janitor
Florence C Guerra,FCG0115,dtaa.com,Florence.C.Guerra@dtaa.com,Administrative Staff
Brendan K Morgan,BKM0116,dtaa.com,Brendan.K.Morgan@dtaa.com,Engineer
Raymond D Hansen,RDH0117,dtaa.com,Raymond.D.Hansen@dtaa.com,Administrative Staff
Stephanie G Cannon,SGC0118,dtaa.com,Stephanie.G.Cannon@dtaa.com,Administrative Staff
Finn G Mcclure,FGM0119,dtaa.com,Finn.G.Mcclure@dtaa.com,Project Manager
Benjamin Z Hubbard,BZH0120,dtaa.com,Benjamin.Z.Hubbard@dtaa.com,Engineer
Carlos O Shannon,COS0121,dtaa.com,Carlos.O.Shannon@dtaa.com,Project Manager
Angelica F Greer,AFG0122,dtaa.com,Angelica.F.Greer@dtaa.com,Administrative Staff
Daquan A Waller,DAW0123,dtaa.com,Daquan.A.Waller@dtaa.com,Foreman
Phelan V Heath,PVH0124,dtaa.com,Phelan.V.Heath@dtaa.com,Foreman
Constance G Hobbs,CGH0125,dtaa.com,Constance.G.Hobbs@dtaa.com,Administrative Staff
Darrel R Oconnor,DRO0126,dtaa.com,Darrel.R.Oconnor@dtaa.com,Administrative Staff
Victor N Morrow,VNM0127,dtaa.com,Victor.N.Morrow@dtaa.com,Engineer
Dante W Fernandez,DWF0128,dtaa.com,Dante.W.Fernandez@dtaa.com,Of Council
Yuli J Johnson,YJJ0129,dtaa.com,Yuli.J.Johnson@dtaa.com,Project Manager
Tatiana S Miranda,TSM0130,dtaa.com,Tatiana.S.Miranda@dtaa.com,Technician
Ishmael T Craig,ITC0131,dtaa.com,Ishmael.T.Craig@dtaa.com,Senior Manger
Ariel S Cardenas,ASC0132,dtaa.com,Ariel.S.Cardenas@dtaa.com,Tradesman
Chantale V Williams,CVW0133,dtaa.com,Chantale.V.Williams@dtaa.com,Engineer
Ebony E Bird,EEB0134,dtaa.com,Ebony.E.Bird@dtaa.com,Administrative Staff
Mona Q Lynch,MQL0135,dtaa.com,Mona.Q.Lynch@dtaa.com,Administrative Staff
Melodie P Avery,MPA0136,dtaa.com,Melodie.P.Avery@dtaa.com,Technician
Elizabeth D West,EDW0137,dtaa.com,Elizabeth.D.West@dtaa.com,Technician
Fatima J Clarke,FJC0138,dtaa.com,Fatima.J.Clarke@dtaa.com,Administrative Staff
Scarlet M Calhoun,SMC0139,dtaa.com,Scarlet.M.Calhoun@dtaa.com,Technician
Jessamine C Carlson,JCC0140,dtaa.com,Jessamine.C.Carlson@dtaa.com,Engineer
Lionel P Byrd,LPB0141,dtaa.com,Lionel.P.Byrd@dtaa.com,Administrative Assistant
Ulla M Koch,UMK0142,dtaa.com,Ulla.M.Koch@dtaa.com,Administrative Staff
Deborah N Morse,DNM0143,dtaa.com,Deborah.N.Morse@dtaa.com,Engineer
Stacey S Hansen,SSH0144,dtaa.com,Stacey.S.Hansen@dtaa.com,Technician
Shelby T Fry,STF0145,dtaa.com,Shelby.T.Fry@dtaa.com,Tradesman
Emmanuel D Harper,EDH0146,dtaa.com,Emmanuel.D.Harper@dtaa.com,Loading Dock
Adara H Delgado,AHD0147,dtaa.com,Adara.H.Delgado@dtaa.com,Tradesman
Hannah W Golden,HWG0148,dtaa.com,Hannah.W.Golden@dtaa.com,VP
Bell Q Weaver,BQW0149,dtaa.com,Bell.Q.Weaver@dtaa.com,Engineer
Lance T Butler,LTB0150,dtaa.com,Lance.T.Butler@dtaa.com,Security
Sopoline S Bartlett,SSB0151,dtaa.com,Sopoline.S.Bartlett@dtaa.com,Administrative Staff
Ima A Glenn,IAG0152,dtaa.com,Ima.A.Glenn@dtaa.com,Administrative Staff
Wyoming J Gill,WJG0153,dtaa.com,Wyoming.J.Gill@dtaa.com,Technician
Farrah U Aguilar,FUA0154,dtaa.com,Farrah.U.Aguilar@dtaa.com,Administrative Staff
August L Lancaster,ALL0155,dtaa.com,August.L.Lancaster@dtaa.com,Engineer
Burke K Head,BKH0156,dtaa.com,Burke.K.Head@dtaa.com,Senior Manger
Priscilla R Barnes,PRB0157,dtaa.com,Priscilla.R.Barnes@dtaa.com,Tradesman
Kaitlin P Collier,KPC0158,dtaa.com,Kaitlin.P.Collier@dtaa.com,Senior Manger
Jeanette Z Vargas,JZV0159,dtaa.com,Jeanette.Z.Vargas@dtaa.com,Administrative Staff
Orlando K Greer,OKG0160,dtaa.com,Orlando.K.Greer@dtaa.com,Senior Manger
Nash A Clemons,NAC0161,dtaa.com,Nash.A.Clemons@dtaa.com,Administrative Assistant
Daryl J Conner,DJC0162,dtaa.com,Daryl.J.Conner@dtaa.com,Technician
Cain Z Ballard,CZB0163,dtaa.com,Cain.Z.Ballard@dtaa.com,Security
Quail Z Daniel,QZD0164,dtaa.com,Quail.Z.Daniel@dtaa.com,Tradesman
Ursula A Drake,UAD0165,dtaa.com,Ursula.A.Drake@dtaa.com,Administrative Staff
Miriam B Reid,MBR0166,dtaa.com,Miriam.B.Reid@dtaa.com,Administrative Staff
Shannon A Owen,SAO0167,dtaa.com,Shannon.A.Owen@dtaa.com,Tradesman
Veda A Pollard,VAP0168,dtaa.com,Veda.A.Pollard@dtaa.com,Tradesman
Wendy L Ball,WLB0169,dtaa.com,Wendy.L.Ball@dtaa.com,Tradesman
Lara A Langley,LAL0170,dtaa.com,Lara.A.Langley@dtaa.com,Tradesman
Hyatt C Jones,HCJ0171,dtaa.com,Hyatt.C.Jones@dtaa.com,Technician
Axel N Stout,ANS0172,dtaa.com,Axel.N.Stout@dtaa.com,Engineer
Albert K Pruitt,AKP0173,dtaa.com,Albert.K.Pruitt@dtaa.com,Security
Christen H Atkins,CHA0174,dtaa.com,Christen.H.Atkins@dtaa.com,Administrative Staff
Silas V Cook,SVC0175,dtaa.com,Silas.V.Cook@dtaa.com,Engineer
Imani R Holmes,IRH0176,dtaa.com,Imani.R.Holmes@dtaa.com,Tradesman
Octavius N Ballard,ONB0177,dtaa.com,Octavius.N.Ballard@dtaa.com,Foreman
Uriah L Browning,ULB0178,dtaa.com,Uriah.L.Browning@dtaa.com,VP
Aladdin B Garner,ABG0179,dtaa.com,Aladdin.B.Garner@dtaa.com,Technician
Juliet S Warner,JSW0180,dtaa.com,Juliet.S.Warner@dtaa.com,Administrative Staff
Leroy K York,LKY0181,dtaa.com,Leroy.K.York@dtaa.com,Engineer
Aidan G Wallace,AGW0182,dtaa.com,Aidan.G.Wallace@dtaa.com,Administrative Assistant
Cole G Thomas,CGT0183,dtaa.com,Cole.G.Thomas@dtaa.com,Engineer
Germaine D Good,GDG0184,dtaa.com,Germaine.D.Good@dtaa.com,Technician
Elaine C Beck,ECB0185,dtaa.com,Elaine.C.Beck@dtaa.com,Technician
Unity B Bryant,UBB0186,dtaa.com,Unity.B.Bryant@dtaa.com,Tradesman
Juliet I Pearson,JIP0187,dtaa.com,Juliet.I.Pearson@dtaa.com,Technician
Kieran B Porter,KBP0188,dtaa.com,Kieran.B.Porter@dtaa.com,Administrative Assistant
Colton S Rodriguez,CSR0189,dtaa.com,Colton.S.Rodriguez@dtaa.com,Foreman
Ronan K Chen,RKC0190,dtaa.com,Ronan.K.Chen@dtaa.com,Engineer
Alfonso M Atkinson,AMA0191,dtaa.com,Alfonso.M.Atkinson@dtaa.com,Security
Shea A Hodge,SAH0192,dtaa.com,Shea.A.Hodge@dtaa.com,Engineer
Chadwick D Evans,CDE0193,dtaa.com,Chadwick.D.Evans@dtaa.com,Foreman
Patience I Golden,PIG0194,dtaa.com,Patience.I.Golden@dtaa.com,Tradesman
Tate I Wooten,TIW0195,dtaa.com,Tate.I.Wooten@dtaa.com,Administrative Assistant
Eden M Zimmerman,EMZ0196,dtaa.com,Eden.M.Zimmerman@dtaa.com,Tradesman
Fleur M Fox,FMF0197,dtaa.com,Fleur.M.Fox@dtaa.com,Tradesman
Whoopi D Wilkinson,WDW0198,dtaa.com,Whoopi.D.Wilkinson@dtaa.com,Administrative Staff
Destiny A Wilder,DAW0199,dtaa.com,Destiny.A.Wilder@dtaa.com,Technician
Joseph M Poole,JMP0200,dtaa.com,Joseph.M.Poole@dtaa.com,Administrative Assistant
Amena L Navarro,ALN0201,dtaa.com,Amena.L.Navarro@dtaa.com,Administrative Staff
Camden G Roberts,CGR0202,dtaa.com,Camden.G.Roberts@dtaa.com,Administrative Assistant
Adrian J Cochran,AJC0203,dtaa.com,Adrian.J.Cochran@dtaa.com,Senior Manger
Robert X Mckenzie,RXM0204,dtaa.com,Robert.X.Mckenzie@dtaa.com,Security
Mary R Molina,MRM0205,dtaa.com,Mary.R.Molina@dtaa.com,Technician
Meredith Z Benson,MZB0206,dtaa.com,Meredith.Z.Benson@dtaa.com,Technician
Ria X Ellison,RXE0207,dtaa.com,Ria.X.Ellison@dtaa.com,Tradesman
Connor B Robles,CBR0208,dtaa.com,Connor.B.Robles@dtaa.com,Foreman
Perry M Leonard,PML0209,dtaa.com,Perry.M.Leonard@dtaa.com,VP
Rashad W Daniels,RWD0210,dtaa.com,Rashad.W.Daniels@dtaa.com,Security
Tyler K Hutchinson,TKH0211,dtaa.com,Tyler.K.Hutchinson@dtaa.com,Engineer
Morgan J Kramer,MJK0212,dtaa.com,Morgan.J.Kramer@dtaa.com,Tradesman
Dale X Meyer,DXM0213,dtaa.com,Dale.X.Meyer@dtaa.com,Security
Erich C Maynard,ECM0214,dtaa.com,Erich.C.Maynard@dtaa.com,Technician
Olivia H Woodard,OHW0215,dtaa.com,Olivia.H.Woodard@dtaa.com,Technician
Taylor F Shannon,TFS0216,dtaa.com,Taylor.F.Shannon@dtaa.com,Technician
Stone B Melton,SBM0217,dtaa.com,Stone.B.Melton@dtaa.com,Senior Manger
Tana C Richards,TCR0218,dtaa.com,Tana.C.Richards@dtaa.com,Administrative Staff
Alec D Roy,ADR0219,dtaa.com,Alec.D.Roy@dtaa.com,Security
Aurora J Avila,AJA0220,dtaa.com,Aurora.J.Avila@dtaa.com,Engineer
Driscoll A Watson,DAW0221,dtaa.com,Driscoll.A.Watson@dtaa.com,Project Manager
Quinn G Mayer,QGM0222,dtaa.com,Quinn.G.Mayer@dtaa.com,Janitor
Uriel G Warren,UGW0223,dtaa.com,Uriel.G.Warren@dtaa.com,Engineer
Hoyt O Olsen,HOO0224,dtaa.com,Hoyt.O.Olsen@dtaa.com,Technician
Kathleen F Finley,KFF0225,dtaa.com,Kathleen.F.Finley@dtaa.com,Technician
Montana S Mccullough,MSM0226,dtaa.com,Montana.S.Mccullough@dtaa.com,Administrative Staff
Xavier H Nash,XHN0227,dtaa.com,Xavier.H.Nash@dtaa.com,Technician
Moses J Miller,MJM0228,dtaa.com,Moses.J.Miller@dtaa.com,Foreman
Raymond B Bass,RBB0229,dtaa.com,Raymond.B.Bass@dtaa.com,Engineer
Tatyana C Hewitt,TCH0230,dtaa.com,Tatyana.C.Hewitt@dtaa.com,Technician
Vera F Sharp,VFS0231,dtaa.com,Vera.F.Sharp@dtaa.com,Technician
Lucy Q Aguirre,LQA0232,dtaa.com,Lucy.Q.Aguirre@dtaa.com,Tradesman
Jonathan M Castillo,JMC0233,dtaa.com,Jonathan.M.Castillo@dtaa.com,Engineer
Mark K Nixon,MKN0234,dtaa.com,Mark.K.Nixon@dtaa.com,Foreman
Drake B Booth,DBB0235,dtaa.com,Drake.B.Booth@dtaa.com,Foreman
Bradley G Frost,BGF0236,dtaa.com,Bradley.G.Frost@dtaa.com,Tradesman
Rogan E Riggs,RER0237,dtaa.com,Rogan.E.Riggs@dtaa.com,Project Manager
Morgan L Crawford,MLC0238,dtaa.com,Morgan.L.Crawford@dtaa.com,Technician
Maia T Madden,MTM0239,dtaa.com,Maia.T.Madden@dtaa.com,Engineer
Dalton G Mejia,DGM0240,dtaa.com,Dalton.G.Mejia@dtaa.com,Director
Jason H Nielsen,JHN0241,dtaa.com,Jason.H.Nielsen@dtaa.com,Senior Manger
Emily M Rollins,EMR0242,dtaa.com,Emily.M.Rollins@dtaa.com,Tradesman
Glenna T Jenkins,GTJ0243,dtaa.com,Glenna.T.Jenkins@dtaa.com,Tradesman
Alana L Cruz,ALC0244,dtaa.com,Alana.L.Cruz@dtaa.com,Tradesman
Rashad R Fitzgerald,RRF0245,dtaa.com,Rashad.R.Fitzgerald@dtaa.com,Foreman
Nichole C Wall,NCW0246,dtaa.com,Nichole.C.Wall@dtaa.com,Senior Manger
Brianna M Marshall,BMM0247,dtaa.com,Brianna.M.Marshall@dtaa.com,Engineer
Ginger Y Bernard,GYB0248,dtaa.com,Ginger.Y.Bernard@dtaa.com,Tradesman
Thor Q Castaneda,TQC0249,dtaa.com,Thor.Q.Castaneda@dtaa.com,Foreman
Alma L Weber,ALW0250,dtaa.com,Alma.L.Weber@dtaa.com,Administrative Staff
Noel M Cook,NMC0251,dtaa.com,Noel.M.Cook@dtaa.com,Tradesman
Nicole A Tran,NAT0252,dtaa.com,Nicole.A.Tran@dtaa.com,Technician
Nina H Larsen,NHL0253,dtaa.com,Nina.H.Larsen@dtaa.com,Administrative Staff
Elaine R Potts,ERP0254,dtaa.com,Elaine.R.Potts@dtaa.com,Tradesman
Robin K Duffy,RKD0255,dtaa.com,Robin.K.Duffy@dtaa.com,Administrative Staff
Omar T Strickland,OTS0256,dtaa.com,Omar.T.Strickland@dtaa.com,Security
Renee O Curtis,ROC0257,dtaa.com,Renee.O.Curtis@dtaa.com,Tradesman
Hadassah C Carroll,HCC0258,dtaa.com,Hadassah.C.Carroll@dtaa.com,Administrative Staff
Isadora H Delacruz,IHD0259,dtaa.com,Isadora.H.Delacruz@dtaa.com,Administrative Staff
Hope K Mueller,HKM0260,dtaa.com,Hope.K.Mueller@dtaa.com,Technician
Hanae D Rivas,HDR0261,dtaa.com,Hanae.D.Rivas@dtaa.com,Technician
Vernon A Humphrey,VAH0262,dtaa.com,Vernon.A.Humphrey@dtaa.com,VP
Salvador K Barnett,SKB0263,dtaa.com,Salvador.K.Barnett@dtaa.com,Administrative Assistant
Imelda A Church,IAC0264,dtaa.com,Imelda.A.Church@dtaa.com,Tradesman
Howard T Sykes,HTS0265,dtaa.com,Howard.T.Sykes@dtaa.com,Administrative Staff
Alana J Curry,AJC0266,dtaa.com,Alana.J.Curry@dtaa.com,Tradesman
Nora J Dunn,NJD0267,dtaa.com,Nora.J.Dunn@dtaa.com,Director
Yen S Hess,YSH0268,dtaa.com,Yen.S.Hess@dtaa.com,Technician
Ashely R Fox,ARF0269,dtaa.com,Ashely.R.Fox@dtaa.com,Technician
Stephanie K Patel,SKP0270,dtaa.com,Stephanie.K.Patel@dtaa.com,Engineer
Mara X Middleton,MXM0271,dtaa.com,Mara.X.Middleton@dtaa.com,Technician
Arsenio B Baldwin,ABB0272,dtaa.com,Arsenio.B.Baldwin@dtaa.com,Loading Dock
Michael K Glover,MKG0273,dtaa.com,Michael.K.Glover@dtaa.com,Security
Jesse G Sims,JGS0274,dtaa.com,Jesse.G.Sims@dtaa.com,Foreman
Sacha R Nolan,SRN0275,dtaa.com,Sacha.R.Nolan@dtaa.com,Technician
Nicolas R Hammond,NRH0276,dtaa.com,Nicolas.R.Hammond@dtaa.com,Engineer
Garrison V Hart,GVH0277,dtaa.com,Garrison.V.Hart@dtaa.com,Janitor
Jeremy J Ramos,JJR0278,dtaa.com,Jeremy.J.Ramos@dtaa.com,Engineer
Germane Y Todd,GYT0279,dtaa.com,Germane.Y.Todd@dtaa.com,Technician
Ignatius M Dyer,IMD0280,dtaa.com,Ignatius.M.Dyer@dtaa.com,Administrative Assistant
Orli S Hebert,OSH0281,dtaa.com,Orli.S.Hebert@dtaa.com,Engineer
Randall A Campbell,RAC0282,dtaa.com,Randall.A.Campbell@dtaa.com,Foreman
Ali K Short,AKS0283,dtaa.com,Ali.K.Short@dtaa.com,Security
Adria T Jacobs,ATJ0284,dtaa.com,Adria.T.Jacobs@dtaa.com,Tradesman
Kessie T Chambers,KTC0285,dtaa.com,Kessie.T.Chambers@dtaa.com,Technician
Ria J Potter,RJP0286,dtaa.com,Ria.J.Potter@dtaa.com,Engineer
Elmo B Summers,EBS0287,dtaa.com,Elmo.B.Summers@dtaa.com,Administrative Staff
Leilani G Vaughn,LGV0288,dtaa.com,Leilani.G.Vaughn@dtaa.com,Technician
Maite M Fuentes,MMF0289,dtaa.com,Maite.M.Fuentes@dtaa.com,Of Council
Mercedes A Gross,MAG0290,dtaa.com,Mercedes.A.Gross@dtaa.com,Engineer
Otto A Rosales,OAR0291,dtaa.com,Otto.A.Rosales@dtaa.com,Technician
Quinn G Farmer,QGF0292,dtaa.com,Quinn.G.Farmer@dtaa.com,Tradesman
Ezra N Beasley,ENB0293,dtaa.com,Ezra.N.Beasley@dtaa.com,Technician
Evelyn G Graves,EGG0294,dtaa.com,Evelyn.G.Graves@dtaa.com,Technician
Frances T Branch,FTB0295,dtaa.com,Frances.T.Branch@dtaa.com,Administrative Staff
Cara K Rutledge,CKR0296,dtaa.com,Cara.K.Rutledge@dtaa.com,Engineer
Clinton S Cash,CSC0297,dtaa.com,Clinton.S.Cash@dtaa.com,Senior Manger
Tamekah U Anderson,TUA0298,dtaa.com,Tamekah.U.Anderson@dtaa.com,Tradesman
Kane P Strong,KPS0299,dtaa.com,Kane.P.Strong@dtaa.com,Technician
